node_id,dist_name,prov_name,events,fatalities,degree,betweenness,bridge_risk,bridge_flag
259,Azro,Paktya,71,349,5,0.014978929407582749,0.0022718051091388455,FALSE
41,Kishindih,Balkh,128,526,6,0.00793231158478818,0.002168910763210836,FALSE
195,Sirkanay,Kunar,321,122,5,0.0031068590516667716,0.0021303871441829556,FALSE
243,Waygal,Nuristan,49,174,6,0.019059895890249624,0.001995025969207742,FALSE
323,Mizan,Zabul,237,501,5,0.0037475363083432998,0.001897256915030598,FALSE
187,Chawkay,Kunar,109,405,6,0.008130700771897795,0.001893156101220573,FALSE
104,Kajaki,Hilmand,97,329,6,0.008895787368921897,0.0018432662745999592,FALSE
49,Shibar,Bamyan,10,17,7,0.08575505304433687,0.001831857424608792,FALSE
302,Rustaq,Takhar,51,168,7,0.01672981574946519,0.001822608046239157,FALSE
194,Nurgal,Kunar,46,112,6,0.01690377696590135,0.0016610149245126836,FALSE
139,Bagrami,Kabul,186,243,6,0.0041242452982572335,0.0016386619948684145,FALSE
309,Nesh,Uruzgan,178,537,6,0.00428074761854461,0.0016276895497759668,FALSE
266,Lija Mangal,Paktya,166,161,4,0.004533493444865652,0.0016075816095273046,FALSE
54,Kijran,Daykundi,73,250,5,0.010281539071026767,0.0016032931589427752,FALSE
60,Gulistan,Farah,29,50,6,0.025185736914781945,0.001560215577027599,FALSE
206,Mihtarlam,Laghman,468,980,4,0.0015549537100541444,0.0015545162530488676,FALSE
72,Khwaja Sabz Posh,Faryab,674,2070,5,0.0010762806204486076,0.0015495920017693677,FALSE
132,Fayz abad,Jawzjan,133,377,5,0.005446561927890136,0.001547412269499901,FALSE
185,Bar Kunar,Kunar,225,299,5,0.003188460967234742,0.0015324826700287984,FALSE
37,Dawlat abad,Balkh,162,724,6,0.0042936955646413555,0.001485861097182354,FALSE
74,Maymana,Faryab,274,937,5,0.002432586172794619,0.0014238057607830815,FALSE
281,Shinwari,Parwan,91,130,6,0.007192244179753905,0.0013980984844190456,FALSE
88,Malistan,Ghazni,26,230,5,0.02493186142578655,0.0013847137397277594,FALSE
288,Balkhab,Sari Pul,38,221,5,0.016748167034556515,0.0013595113239206755,FALSE
46,Shortepa,Balkh,86,141,5,0.007341022412276181,0.001348611784631242,FALSE
17,Muqur,Badghis,194,576,4,0.003237761389912613,0.0013417713638429942,FALSE
314,Hisa-i-Awali Bihsud,Wardak,29,54,6,0.021146652419195354,0.001310000839683694,FALSE
122,Karukh,Hirat,43,204,7,0.014215625794482458,0.0013057691010646684,FALSE
279,Salang,Parwan,72,244,6,0.008441224014461443,0.0012982844976483683,FALSE
116,Farsi,Hirat,37,166,6,0.01551834607329294,0.0012265326288359677,FALSE
307,Dihrawud,Uruzgan,471,2035,5,0.001190365318697596,0.0011976588319885474,FALSE
78,Shirin Tagab,Faryab,342,941,5,0.0016370796000945973,0.0011959908358367783,FALSE
286,Khuram Wa Sarbagh,Samangan,18,29,7,0.03105000711136506,0.0011938950682831974,FALSE
233,Chakhansur,Nimroz,35,61,8,0.015909203232807423,0.0011894561147663557,FALSE
36,Chimtal,Balkh,35,115,8,0.015582034575446857,0.0011649952568363415,FALSE
121,Injil,Hirat,87,218,6,0.006174703235264951,0.0011475385696015279,FALSE
254,Urgun,Paktika,88,262,7,0.005852023766146171,0.001100070965838522,FALSE
244,Burmul,Paktika,144,522,4,0.0035392616315480328,0.001088697208245727,FALSE
219,Goshta,Nangarhar,22,10,7,0.022985740844811416,0.0010802222932664893,FALSE
177,Musa Khel,Khost,136,279,5,0.003482198038065953,0.0010116361124865904,FALSE
56,Anar Dara,Farah,78,295,4,0.005978507482500307,9.961375902949317e-4,FALSE
48,Panjab,Bamyan,6,2,6,0.07696242904822512,9.86420219424462e-4,FALSE
34,Char Bolak,Balkh,402,1215,5,0.0011466965526081066,9.84705829775577e-4,FALSE
55,Shahristan,Daykundi,9,1,5,0.05120258243850848,9.843880298875016e-4,FALSE
146,Khaki Jabar,Kabul,37,70,5,0.01225047755558051,9.682481863580324e-4,FALSE
327,Shinkay,Zabul,22,17,8,0.020538175598179734,9.651981762938728e-4,FALSE
165,Spin Boldak,Kandahar,287,1282,4,0.0015617692565209158,9.574822140165589e-4,FALSE
278,Kohi Safi,Parwan,30,29,6,0.01443319758993544,9.249446846811201e-4,FALSE
64,Pusht Rod,Farah,289,1053,4,0.0014553605862819624,8.984634225468148e-4,FALSE
76,Qaram Qol,Faryab,54,229,5,0.007579192253313268,8.742761526926214e-4,FALSE
181,Spera,Khost,46,46,7,0.008818290528723668,8.665112067229542e-4,FALSE
67,Almar,Faryab,284,749,5,0.0014249425403344582,8.644654515087977e-4,FALSE
166,Alasay,Kapisa,53,56,5,0.007477757979254906,8.46601870483489e-4,FALSE
75,Pashtun Kot,Faryab,65,141,6,0.005909914019663279,8.205904689464315e-4,FALSE
260,Chamkani,Paktya,92,149,4,0.004145333415662472,8.146653477960576e-4,FALSE
13,Zebak,Badakhshan,21,178,6,0.01783452702701064,8.000420982427873e-4,FALSE
113,Washer,Hilmand,155,349,5,0.002407981803053161,7.972909748007562e-4,FALSE
172,Bak,Khost,77,82,5,0.004827204472480044,7.939961005333434e-4,FALSE
296,Chal,Takhar,55,125,6,0.006756908679918123,7.938577484724624e-4,FALSE
117,Ghoryan,Hirat,125,302,3,0.0029556981419985866,7.892271933414779e-4,FALSE
245,Dila,Paktika,52,282,6,0.006608675395544847,7.34090685434895e-4,FALSE
109,Naw Zad,Hilmand,41,125,5,0.008236298012192467,7.213530262083989e-4,FALSE
80,Ajristan,Ghazni,31,202,5,0.010812497572872467,7.160109531538665e-4,FALSE
129,Zinda Jan,Hirat,35,61,7,0.009399775198432552,7.027768722036586e-4,FALSE
290,Sangcharak,Sari Pul,102,276,5,0.0029896817527203566,6.514139904232596e-4,FALSE
228,Pachir Wa Agam,Nangarhar,205,758,4,0.0014174435238489603,6.207140476791498e-4,FALSE
137,Qarqin,Jawzjan,58,255,5,0.004752544519535714,5.888248586877583e-4,FALSE
101,Bughran,Hilmand,12,50,6,0.02218501388777288,5.686864756672161e-4,FALSE
39,Kaldar,Balkh,49,185,3,0.005394121083567887,5.646102006398733e-4,FALSE
140,Chahar Asyab,Kabul,44,40,6,0.005894601383282165,5.540373805770297e-4,FALSE
210,Khushi,Logar,47,125,5,0.005253084858962774,5.274049767221783e-4,FALSE
238,Bargi Matal,Nuristan,33,163,4,0.007380248072401594,5.202557023158661e-4,FALSE
136,Mingajik,Jawzjan,48,218,6,0.005023663296585384,5.151025623920742e-4,FALSE
168,Kohistan,Kapisa,152,197,6,0.0015769479765073747,5.120270479443162e-4,FALSE
111,Reg,Hilmand,28,149,7,0.008539824821493899,5.107859497080259e-4,FALSE
61,Khaki Safed,Farah,63,444,5,0.003762548019013195,5.063543553431342e-4,FALSE
9,Ragh,Badakhshan,107,361,4,0.002179745163095981,4.982203350533288e-4,FALSE
70,Dawlat abad,Faryab,197,798,4,0.0011788286749557036,4.960767428016715e-4,FALSE
38,Dihdadi,Balkh,39,199,7,0.005902082574197377,4.91701844514868e-4,FALSE
35,Charkint,Balkh,38,163,5,0.005995954625523632,4.867140502178412e-4,FALSE
23,Baghlani Jadid,Baghlan,9,41,7,0.025251009581891526,4.8545972470900823e-4,FALSE
124,Kushk,Hirat,119,224,5,0.0018834314425458512,4.787719815510697e-4,FALSE
282,Surkhi Parsa,Parwan,5,0,7,0.0436896985788867,4.666389669147262e-4,FALSE
135,Mardyan,Jawzjan,35,141,7,0.005748870025053263,4.2981590619167303e-4,FALSE
186,Chapa Dara,Kunar,4,1,8,0.04771064613430029,4.076685781247847e-4,FALSE
231,Shinwar,Nangarhar,281,395,5,6.396670467696502e-4,3.8396553816062826e-4,FALSE
310,Shahidi Hasas,Uruzgan,8,7,7,0.022390943120545386,3.826434846063959e-4,FALSE
258,Ziluk,Paktika,64,121,5,0.0027104353746175603,3.705535513928253e-4,FALSE
311,Tirin Kot,Uruzgan,1129,5400,4,1.509569818345522e-4,3.640651390850338e-4,FALSE
62,Lash Wa Juwayn,Farah,35,91,5,0.004423837822825979,3.307494958794671e-4,FALSE
226,Muhmand Dara,Nangarhar,293,724,4,5.058993629774807e-4,3.1663848727716745e-4,FALSE
280,Shekh Ali,Parwan,18,11,5,0.007880279431716588,3.030024024302498e-4,FALSE
50,Waras,Bamyan,2,0,5,0.0670053929122751,2.8626727437675194e-4,FALSE
275,Chaharikar,Parwan,283,315,5,4.641272281202688e-4,2.8057917364315e-4,FALSE
150,Qarabagh,Kabul,97,60,6,0.0013189359242185262,2.73292290681738e-4,FALSE
192,Nali,Kunar,106,72,3,0.0010331425788713889,2.3393654680324536e-4,FALSE
97,Saghar,Ghor,25,96,6,0.004305731703933493,2.2994232730944923e-4,FALSE
148,Musayi,Kabul,113,64,4,9.286461331196425e-4,2.2416130552542843e-4,FALSE
156,Ghorak,Kandahar,37,200,6,0.0028079065197872243,2.2193015602141902e-4,FALSE
119,Guzara,Hirat,107,389,5,9.705335902840042e-4,2.2183307421360008e-4,FALSE
11,Shighnan,Badakhshan,10,24,6,0.010321029909871788,2.2047278380473947e-4,FALSE
190,Khas Kunar,Kunar,24,16,4,0.004189977530679072,2.1481019278152998e-4,FALSE
252,Sarobi,Paktika,67,260,4,0.0014042979821533073,2.009861002638815e-4,FALSE
285,Hazrati Sultan,Samangan,42,199,4,0.002218470422217642,1.9903748821513458e-4,FALSE
277,Jabalussaraj,Parwan,110,142,5,7.623299212690209e-4,1.791297007433132e-4,FALSE
179,Qalandar,Khost,72,18,4,0.001126138223833829,1.732032932318771e-4,FALSE
249,Nika,Paktika,14,89,5,0.0047367630778523215,1.4165817670949975e-4,FALSE
300,Kalafgan,Takhar,21,33,5,0.0030550374097414778,1.370464456835928e-4,FALSE
183,Tere Zayi,Khost,149,81,3,4.1382786679398296e-4,1.317158230148737e-4,FALSE
65,Qala-I-Kah,Farah,8,16,6,0.007404107273858661,1.265303293575529e-4,FALSE
133,Khamyab,Jawzjan,30,160,4,0.0019561627490817107,1.25359770477751e-4,FALSE
215,Chaparhar,Nangarhar,210,731,4,2.7901560094861994e-4,1.2516408564540563e-4,FALSE
293,Sozma Qala,Sari Pul,51,201,5,0.0011217047776163433,1.222026699997462e-4,FALSE
15,Ghormach,Badghis,165,738,3,3.437599571985429e-4,1.2116332419040421e-4,FALSE
182,Tani,Khost,21,32,4,0.002425320586907423,1.0879787102411759e-4,FALSE
99,Taywara,Ghor,68,233,4,7.252040424175277e-4,1.0534188323164705e-4,FALSE
176,Mando Zayi,Khost,67,56,4,7.229048869618241e-4,1.0346367789361201e-4,FALSE
134,Khwaja Du Koh,Jawzjan,9,13,6,0.005234711324057683,1.0063920454612607e-4,FALSE
246,Gayan,Paktika,32,158,4,0.0014671557810971524,1.0029012132576197e-4,FALSE
162,Reg,Kandahar,6,73,5,0.007273889336333985,9.322875595207443e-5,FALSE
4,Ishkashim,Badakhshan,18,188,4,0.0023422217972481098,9.006010989080859e-5,FALSE
159,Maruf,Kandahar,208,800,3,2.0218143468521906e-4,8.983313543911568e-5,FALSE
191,Marwara,Kunar,167,117,3,2.1674751837909582e-4,7.732190655948894e-5,FALSE
10,Shahri Buzurg,Badakhshan,28,49,4,0.001094924338327365,6.548986421868309e-5,FALSE
167,Kohband,Kapisa,32,29,5,9.362712582936405e-4,6.400053716032437e-5,FALSE
125,Kushki Kuhna,Hirat,78,145,4,3.49799470606546e-4,5.828351018316713e-5,FALSE
222,Kama,Nangarhar,53,52,4,4.444799385410311e-4,5.032224209517917e-5,FALSE
100,Tulak,Ghor,27,69,5,8.60385970429087e-4,4.9623687519512156e-5,FALSE
57,Bakwa,Farah,59,385,4,3.9265750836962247e-4,4.948776805973207e-5,FALSE
217,Dih Bala,Nangarhar,440,2557,3,5.1147079345424596e-5,4.80734693020515e-5,FALSE
142,Gul dara,Kabul,4,2,6,0.005448562406753023,4.655580817188477e-5,FALSE
225,Lal Pur,Nangarhar,12,50,3,0.0016775670399524554,4.3002438153615114e-5,FALSE
143,Istalif,Kabul,15,7,4,0.0010797400358205783,3.459731638628919e-5,FALSE
321,Atghar,Zabul,59,265,3,2.6428568201777543e-4,3.3308693338144784e-5,FALSE
188,Dangam,Kunar,71,168,4,2.1448270871358605e-4,3.2529889167566114e-5,FALSE
294,Bangi,Takhar,28,101,5,4.331418425438356e-4,2.59071786631022e-5,FALSE
234,Char Burjak,Nimroz,15,23,4,6.29487571513348e-4,2.0170207596621078e-5,FALSE
147,Mirbacha Kot,Kabul,15,17,4,4.954356622286385e-4,1.5874880792160613e-5,FALSE
110,Nawa-i-Barak Zayi,Hilmand,713,1758,4,1.0006066177620183e-5,1.5239995889577707e-5,FALSE
216,Dara-I-Nur,Nangarhar,19,54,4,3.67372006380993e-4,1.4910479509068373e-5,FALSE
71,Khan Char Bagh,Faryab,9,39,4,7.591014808483939e-4,1.4593998498307044e-5,FALSE
250,Omna,Paktika,33,127,4,1.466517686517148e-4,1.0337920642677573e-5,FALSE
248,Mata Khan,Paktika,85,200,4,4.895325433401642e-5,8.888581178947177e-6,FALSE
14,Ab Kamari,Badghis,33,108,3,1.10844490807856e-4,7.81375881235388e-6,FALSE
118,Gulran,Hirat,83,172,3,4.2213091686835144e-5,7.484403661584775e-6,FALSE
295,Chah Ab,Takhar,71,174,3,4.0649643846581996e-5,6.1651981969145445e-6,FALSE
237,Zaranj,Nimroz,174,436,3,1.5634478402531535e-5,5.811183565889115e-6,FALSE
145,Kalakan,Kabul,14,12,4,1.8669265939081972e-4,5.583251959129486e-6,FALSE
235,Kang,Nimroz,21,59,3,1.117377376734612e-4,5.0124622854190765e-6,FALSE
218,Dur Baba,Nangarhar,87,439,4,2.5015165444050458e-5,4.648946852711292e-6,FALSE
193,Narang Wa Badil,Kunar,31,65,4,3.413026143534456e-5,2.260129156747599e-6,FALSE
123,Kuhsan,Hirat,103,214,3,9.38068704151892e-6,2.063972094091651e-6,FALSE
173,Gurbuz,Khost,34,27,3,2.0609085166973384e-5,1.496820009395681e-6,FALSE
6,Khwahan,Badakhshan,16,45,3,2.0324821923290998e-5,6.946702193706529e-7,FALSE
2,Darwaz,Badakhshan,73,341,2,0,0,FALSE
12,Wakhan,Badakhshan,7,7,2,0,0,FALSE
42,Marmul,Balkh,0,0,4,4.260422693017866e-4,0,FALSE
43,Mazar-i-Sharif,Balkh,391,809,2,0,0,FALSE
66,Shib Koh,Farah,80,240,2,0,0,FALSE
68,Andkhoy,Faryab,92,348,2,0,0,FALSE
102,Disho,Hilmand,0,0,3,0.0013293798421335097,0,FALSE
120,Hirat City,Hirat,612,1262,1,0,0,FALSE
164,Shorabak,Kandahar,76,316,3,0,0,FALSE
174,Jaji Maydan,Khost,47,58,3,0,0,FALSE
208,Baraki Barak,Logar,281,690,3,0,0,FALSE
227,Nazyan,Nangarhar,94,382,3,0,0,FALSE
256,Wolmamay,Paktika,27,131,2,0,0,FALSE
268,Shamul,Paktya,20,29,3,0,0,FALSE
269,Shwak,Paktya,6,18,3,0,0,FALSE
297,Darqad,Takhar,94,481,1,0,0,FALSE
